SELECT json_validate(string), string FROM test_strings;
 json_validate |                          string                          
---------------+----------------------------------------------------------
 f             | 
 f             |   
 f             | "
 f             | [,]
 f             | [)
 f             | []]
 f             | [}
 f             | {,}
 f             | {]
 f             | ["1":2]
 f             | [1,2,]
 f             | [1:2}
 f             | {"1":2,}
 f             | {1:2}
 f             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"], [7 ]}]}
 f             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"], [7]}]}
 f             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"], "7" :[8 ]}]
 f             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"], "7" :[8 ]}]]
 f             | {"1":2, "3":4
 f             | "1\u2"
 f             | [,2]
 f             | "3
 f             | "3" "4"
 f             | [3[4]
 f             | [3[4]]
 f             | [3, [4, [5], 6] 7, 8 9]
 f             | [3, [4, [5], 6] 7, 8, 9]
 f             | [3, [4, [5], 6], 7, 8 9]
 f             | {"hello":true, "bye":false, null}
 f             | {"hello":true, "bye":false, null:null}
 f             | "hi
 f             | "hi"""
 f             | {"hi": "bye"]
 t             | "\uD800\uD800"
 t             | "\uD800\uDBFF"
 f             | "\UD834\UDD1E"
 t             | "\uDB00"
 t             | "\uDB00\uDBFF"
 t             | "\uFFFE"
 t             | "\uFFFF"
 f             | .
 t             | ""
 t             | []
 t             | {}
 f             | +.
 t             | 0.5
 f             | 0.e1
 t             | {"1":{}}
 t             | {"1":2}
 t             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"]}]}
 t             | {"1":2, "2.5" : [3, 4, {}, {"5": ["6"], "7" :[8 ]}]}
 t             | 1234
 t             | -1234
 t             | {"1":2, "3":4}
 f             | +1234
 f             | ++1234
 t             | 123.456e14234
 t             | 123.456e-14234
 t             | 123.456e+14234
 f             | 123.e-14234
 t             | "1\u2000"
 t             | "1\u20001"
 t             | 2
 f             | .246e-14234
 f             | .2e-14234
 t             | 3
 f             | .3
 t             | "3"
 t             | [3]
 f             | +3.
 t             | 3.2e+1
 t             | [3, [4]]
 t             | [3, [4, [5]]]
 t             | [3, [4, [5], 6]]
 t             | [3, [4, [5], 6], 7]
 t             | [3, [4, [5], 6], 7, 8]
 t             | [3, [4, [5], 6], 7, 8, 9]
 f             | +3.5
 f             | .3e
 f             | .3e1
 f             | .3e-1
 f             | .3e+1
 f             | 3.e1
 f             | 3.e+1
